"Name","Industry","annual_sales","annual_profit","latest_quarter_sales","latest_quarter_profit","q_sales_growth_pct","total_assets","total_debt","roe","stock_price"
"Krishana Phosch.","Fertilizers","923.9","40.44","263.4","5.59","81.28","844.72","436.07","14.38","294.2"
"Krishanveer Forg","Castings & Forgings","84.26","3.99","23.5","1.04","23.55","51.67","0.0","10.74","95.17"
"Krishca Strapp.","Steel - Medium / Small","105.02","13.24","56.53","7.56","0","77.7","20.14","121.02","325.0"
"Krishival Foods","Food - Processing - Indian","102.6","9.61","51.03","4.58","105.82","134.54","6.39","19.77","215.0"
"Krishna Capital","Finance & Investments","0.39","0.15","0.11","0.11","0.0","6.34","0.0","2.41","23.0"
"Krishna Defence","Diversified - Medium / Small","106.43","9.79","71.2","7.16","0","133.48","9.43","26.7","1040.85"
"Krishna Fil. Ind","Textiles - Products","0.0","-0.02","0.0","-0.02","0","0.71","2.85","0","3.79"
"Krishna Institu.","Healthcare","2498.14","336.01","633.8","71.49","10.05","3852.02","1355.33","17.73","2110.35"
"Krishna Vent.","Construction","2.19","-0.47","0.5","-0.06","-63.77","15.91","0.0","-4.02","89.21"
"Kriti Industries","Plastics Products","866.63","21.93","194.62","3.6","3.33","453.72","128.37","15.56","188.9"
"Kriti Nutrients","Solvent Extraction","684.36","45.29","172.27","8.75","-4.92","209.01","12.15","29.31","109.75"
"Kritika Wires","Steel - Medium / Small","431.74","10.4","133.47","5.06","43.93","152.53","40.09","13.13","19.31"
"Kronox Lab","Chemicals","89.86","21.35","22.18","5.88","3.31","73.99","0.0","38.47","154.35"
"Krsnaa Diagnost.","Healthcare","590.02","58.56","159.33","18.42","37.52","1171.57","159.79","7.52","615.95"
"Krypton Industri","Tyres","42.74","1.14","13.81","0.26","37.0","56.53","16.47","3.61","42.33"
"Krystal Integrat","Miscellaneous","984.73","48.23","273.68","14.83","47.19","626.26","86.67","18.1","815.0"
"KSB","Pumps","2301.8","212.4","544.2","44.6","11.15","2065.75","3.24","17.06","4809.9"
"KSE","Food - Processing - Indian","1683.49","17.61","416.58","18.93","5.34","277.9","20.84","9.35","2470.0"
"Kshitij Polyline","Plastics Products","59.4","1.61","15.04","1.52","56.5","74.36","44.4","8.22","6.99"
"Ksolves India","Computers - Software - Medium / Small","108.07","34.23","30.36","9.58","35.17","39.74","0.0","147.16","1152.0"
"Kuantum Papers","Paper","1211.3","183.83","298.85","33.89","-13.06","1887.76","512.5","17.59","157.05"
"Kuber Udyog","Finance & Investments","0.45","0.1","0.11","0.03","-57.69","6.96","3.21","2.72","14.02"
"Kuberan Global","Miscellaneous","0.96","-0.02","0.44","-0.02","0","2.7","0.0","-0.74","15.3"
"Kumbhat Fin.","Finance & Investments","0.34","-1.79","0.09","-1.99","0.0","2.7","0.0","-50.71","17.97"
"Kundan Edifice","Electric Equipment","84.23","3.0","42.83","-0.31","0","58.02","18.09","36.99","142.1"
"Kunststoff Inds.","Plastics Products","13.37","1.09","3.33","0.23","-18.38","13.69","0.0","10.8","27.0"
"Kush Industries","Textiles - Processing","0.66","2.27","0.0","-0.02","-100.0","4.6","11.75","0","12.66"
"Kuwer Industries","Packaging","58.91","0.11","13.22","2.11","-14.49","77.41","32.37","0.64","12.24"
"Kwality Pharma","Pharmaceuticals - Indian - Bulk Drugs & Formln","307.17","23.62","91.98","4.23","33.69","394.21","98.12","13.61","495.0"
"L G Balakrishnan","Auto Ancillaries","2346.05","271.49","606.96","67.82","16.05","2236.66","103.92","17.72","1440.0"
"L T Foods","Food - Processing - Indian","7772.41","597.6","2074.81","150.24","13.91","6044.07","917.48","19.36","263.05"
"L&T Finance Ltd","Finance & Investments","13580.58","2317.13","3671.77","553.02","13.23","102693.84","76603.45","10.31","186.8"
"L&T Technology","Computers - Software - Large","8678.9","1258.5","2351.2","329.3","9.23","8004.6","627.3","25.79","4991.0"
"La Opala RG","Glass & Glass Products","365.13","127.72","82.52","23.66","-24.21","927.26","9.28","15.71","324.55"
"La Tim Metal & I","Trading","348.17","7.65","71.15","3.2","21.44","125.09","49.2","21.27","15.0"
"Labelkraft Tech.","Computers - Hardware","18.43","1.12","9.02","0.61","0","13.76","1.66","11.61","65.5"
"Lactose (India)","Pharmaceuticals - Indian - Bulk Drugs","113.89","6.79","29.4","2.4","13.12","100.74","39.26","15.49","182.0"
"Ladam Affordab.","Construction","0.82","-0.09","0.82","-0.06","-10.87","46.53","9.83","-0.3","8.04"
"Ladderup Finance","Finance & Investments","11.78","-3.93","3.22","-4.96","11.42","99.67","12.25","-5.35","39.9"
"Laffans Petroch","Trading","6.06","2.6","1.91","-2.51","161.64","65.61","0.38","1.13","39.9"
"Lagnam Spintex","Textiles - Products","437.5","14.57","149.65","7.3","65.6","533.49","377.75","14.34","143.0"
"Lahoti Overseas","Trading","487.53","12.06","101.62","-0.88","20.93","220.87","10.33","6.59","51.35"
"Lak. Auto. Looms","Miscellaneous","14.79","2.31","3.27","0.45","-3.54","32.84","5.07","10.07","3041.45"
"Lak. Electrical","Electric Equipment","337.97","13.96","61.95","2.08","-35.32","337.07","6.65","5.48","1569.0"
"Lak. Fin. & Indl","Finance & Investments","14.86","10.38","3.55","1.91","164.93","59.72","0.0","20.12","208.49"
"Lak. Mach. Works","Textile Machinery","4695.86","373.66","970.65","65.98","-25.51","4031.42","0.0","14.82","17291.75"
"Lak. Prec. Screw","Fasteners","232.24","-33.15","51.35","-12.66","-16.37","460.13","260.75","-90.57","5.78"
"Lakhotia Poly.","Textiles - Spinning - Synthetic / Blended","27.75","0.07","4.93","-0.22","-44.98","17.28","6.05","0.8","36.0"
"Lakshmi Mills","Textiles - Composite","252.97","-13.79","67.54","-1.8","50.62","1116.86","140.06","-2.05","6825.0"
"Lambodhara Text.","Textiles - Cotton/Blended","194.69","4.61","42.11","1.43","-6.23","192.29","56.88","4.24","153.0"
"Lancer Containe.","Miscellaneous","633.41","58.37","152.27","15.99","-24.22","561.92","111.88","20.0","51.19"
"Lancor Holdings","Construction","137.7","6.76","43.71","3.01","64.94","302.44","92.46","5.16","42.71"
"Landmarc Leisur.","Entertainment / Electronic Media Software","0.5","-0.75","0.16","-0.36","-73.33","42.6","12.31","-2.93","0.92"
"Landmark Cars","Trading","3287.89","57.23","863.97","10.97","1.19","1551.42","627.02","11.55","723.1"
"Landmark Prop.","Construction","1.33","-11.72","0.36","-12.01","-12.2","44.84","0.0","-23.66","10.03"
"Larsen & Toubro","Engineering - Turnkey Services","221112.91","15547.1","67078.68","5013.17","14.99","339093.61","116322.22","14.68","3528.4"
"Lasa Supergeneri","Pharmaceuticals - Indian - Bulk Drugs & Formln","104.34","-21.73","22.82","-15.3","-35.39","150.87","22.08","-13.17","22.8"
"Last Mile Enter.","Construction","131.02","3.03","130.88","4.32","802.62","0","0","0","780.0"
"Latent View","Computers - Software - Medium / Small","640.68","158.64","171.64","45.24","21.68","1455.88","23.99","12.29","505.8"
"Latteys Industri","Engineering","63.65","1.5","17.28","0.3","0","48.8","16.89","9.07","16.61"
"Laurus Labs","Pharmaceuticals - Indian - Bulk Drugs & Formln","5040.83","162.27","1439.67","75.02","4.26","8387.03","2577.4","3.97","428.3"
"Laxmi Cotspin","Textiles - Cotton/Blended","144.02","-0.24","36.79","7.23","-11.07","120.01","50.19","1.05","31.13"
"Laxmi Goldorna","Construction","201.93","9.48","127.28","5.45","379.76","107.91","52.78","24.61","334.0"
"Laxmi Organic","Chemicals","2865.01","120.54","792.06","44.31","8.43","2827.22","142.79","7.51","255.85"
"Laxmipati Engg","Miscellaneous","40.32","0.78","22.84","0.65","0","46.17","40.11","60.0","70.35"
"LCC Infotech","Computers - Education","1.76","-53.33","0.02","-35.72","-98.23","7.52","2.93","-1.89","4.0"
"Le Lavoir","Miscellaneous","1.99","1.04","0.69","0.37","9.52","7.85","0.0","19.24","269.95"
"Le Merite Export","Trading","468.15","1.74","228.64","0.19","0","197.73","88.66","1.82","140.3"
"Le Travenues","Travel Agencies","501.25","23.4","0","0","0","583.4","10.03","8.43","159.55"
"Lead Financial S","Finance & Investments","0.54","0.25","0.16","0.07","128.57","10.46","0.0","4.32","18.0"
"Lead Reclaim","Miscellaneous","14.77","0.37","9.75","0.23","0","18.9","4.16","3.42","32.4"
"Leading Lea. Fin","Finance & Investments","4.97","2.09","1.85","0.43","112.64","124.4","107.46","16.31","2.95"
"Lee & Nee Soft.","Computers - Software - Medium / Small","8.53","0.5","2.39","-0.17","47.53","58.32","0.1","0.89","10.22"
"Lehar Footwears","Leather / Leather Products","194.26","6.56","38.06","1.22","-24.47","220.16","67.5","6.96","161.0"
"Lemon Tree Hotel","Hotels","1071.12","181.71","327.31","84.0","29.53","4033.04","2335.84","16.31","145.2"
"Lerthai Finance","Finance & Investments","0.0","0.76","0.0","0.77","0","10.55","0.0","7.79","415.0"
"Lesha Industries","Trading","11.56","7.18","8.62","0.51","568.22","49.73","20.82","32.86","3.9"
"Lex Nimble Solu.","Computers - Software - Medium / Small","3.86","0.88","1.57","0.46","0","16.15","0.0","5.94","74.2"
"Lexus Granito","Ceramics - Tiles / Sanitaryware","117.97","-16.58","28.0","-8.15","-25.69","120.72","58.03","-109.4","42.57"
"LGB Forge","Castings & Forgings","89.38","-9.87","19.81","-3.22","-25.64","78.97","29.74","-22.37","12.7"
"Libas Consumer","Food - Processing - Indian","74.29","5.21","22.44","4.09","0.22","98.83","14.74","6.89","18.1"
"Liberty Shoes","Leather / Leather Products","636.86","11.16","169.64","4.98","2.15","463.78","147.31","7.23","381.0"
"Libord Finance","Finance & Investments","0.76","1.98","0.09","0.11","-64.0","18.46","0.0","11.86","14.8"
"Libord Securitie","Finance & Investments","0.02","0.37","0.0","0.07","0","4.57","0.0","8.75","20.02"
"LIC Housing Fin.","Finance - Housing","27276.97","4763.32","6948.21","1081.91","8.04","291333.66","252618.4","16.24","814.45"
"Life Insurance","Finance & Investments","846656.19","40884.77","238968.3","13784.08","18.75","5316047.12","8.67","63.4","1003.95"
"Likhami Consult.","Miscellaneous","0.63","0.16","0.34","0.19","161.54","34.86","0.0","0.46","137.2"
"Likhitha Infra.","Construction","422.09","66.03","122.29","18.72","23.99","349.72","0.0","23.57","470.9"
"Lime Chemicals","Chemicals","10.45","-0.49","2.36","-0.11","-30.38","10.67","5.02","-25.13","27.0"
"Linc","Printing & Stationery","501.89","34.11","138.46","11.45","0.85","296.36","19.01","17.95","577.85"
"Lincoln Pharma.","Pharmaceuticals - Indian - Formulations","580.55","93.3","142.49","18.6","26.7","700.29","1.07","17.04","626.8"
"Linde India","Chemicals","2768.67","426.34","630.07","104.33","-0.03","4779.71","20.69","13.02","8413.0"
"Link Pharma Chem","Chemicals","29.9","-1.36","8.03","0.26","-13.56","25.95","9.22","-9.46","45.2"
"Lippi Systems","Engineering","0.0","-0.86","0.0","-0.25","0","23.95","0.81","-3.86","16.43"
"LKP Finance","Finance & Investments","90.13","59.45","22.96","10.0","229500.0","456.36","84.53","18.18","149.9"
"LKP Securities","Finance & Investments","96.22","9.5","32.43","5.67","91.78","251.62","20.93","13.44","21.35"
"Lloyds Engineeri","Engineering","624.24","79.84","187.9","21.13","8.08","571.28","75.31","26.64","71.75"
"Lloyds Enterpris","Trading","958.38","174.8","333.7","45.65","38.16","2406.05","124.87","4.58","32.12"
"Lloyds Luxuries","Miscellaneous","40.32","-8.01","21.89","-3.05","0","68.19","0.0","-11.22","105.65"
"Lloyds Metals","Mining / Minerals / Metals","6521.65","1243.15","1554.29","277.06","77.38","3936.37","32.2","57.29","747.5"
"Logica Infoway","Trading","1064.24","8.1","557.03","5.5","0","218.24","107.93","15.23","254.75"
"Lokesh Mach.","Engineering","293.54","13.85","80.34","4.69","19.91","390.58","118.05","7.8","417.15"
"Longspur Intl","Trading","4.68","0.45","0.41","-0.36","-77.22","30.93","0.0","1.77","7.52"
"Longview Tea","Trading","1.17","1.52","0.0","0.21","-100.0","18.04","0.0","8.92","40.97"
"Looks Health","Healthcare","0.0","-0.02","0.0","-0.01","0","14.85","0.0","-0.14","6.26"
"Lords Chloro","Chlor Alkali / Soda Ash","221.11","-4.8","62.47","-0.05","4.33","262.35","43.11","-2.88","132.5"
"Lords Ishwar","Hotels","7.7","0.49","2.31","0.25","14.93","9.37","2.83","9.24","17.0"
"Lorenzini Appar.","Textiles - Processing","54.76","5.3","9.97","0.32","-3.58","62.16","19.0","25.62","22.31"
"Lotus Chocolate","Food - Processing - Indian","198.1","1.73","65.82","1.18","0","69.77","5.29","0","586.0"
"Lotus Eye Hospit","Healthcare","48.21","2.91","10.88","0.02","-2.6","66.63","0.0","4.97","57.81"
"Lovable Lingerie","Textiles - Products","63.76","4.28","5.51","-1.85","-53.62","210.74","10.06","2.46","139.45"
"Loyal Equipments","Engineering","70.82","7.09","27.5","3.81","58.32","53.93","12.22","27.22","209.65"
"Loyal Textile","Textiles - Composite","939.19","-42.95","200.76","-8.64","-39.16","1087.45","622.16","-13.77","595.7"
"LTIMindtree","Computers - Software - Large","35517.0","4584.6","8892.9","1100.7","2.32","27544.3","2070.6","25.03","5492.6"
"Lucent Industrie","Miscellaneous","0.0","-0.12","0.0","-0.01","0","19.37","5.0","-0.83","123.65"
"Ludlow Jute","Textiles - Jute - Yarn / Products","475.52","-12.54","127.53","-5.43","-5.27","365.5","120.15","-7.33","85.3"
"Luharuka Media","Finance & Investments","1.63","0.61","0.45","0.09","4.65","16.57","0.88","4.03","4.59"
"Lumax Auto Tech.","Auto Ancillaries","2821.74","166.96","757.38","51.35","53.52","2598.81","809.91","17.94","586.5"
"Lumax Industries","Auto Ancillaries","2636.59","111.02","742.69","36.07","22.13","2601.0","722.59","17.69","2803.0"
"Lupin","Pharmaceuticals - Indian - Bulk Drugs & Formln","20010.82","1935.57","4960.79","368.22","11.98","23997.18","2921.77","14.31","1601.4"
"NIIT","Computers - Education","303.47","39.5","74.34","11.39","23.8","1163.44","8.28","3.84","103.5"
"Lux Industries","Textiles - Composite","2324.29","125.6","707.55","55.09","-1.3","2189.35","210.88","8.32","1424.0"
"LWS Knitwear","Trading","75.13","1.4","34.48","1.21","0.15","43.17","19.48","12.18","49.76"
"Lyka Labs","Pharmaceuticals - Indian - Bulk Drugs & Formln","111.19","-2.49","27.77","-2.13","24.87","156.72","58.66","-6.32","108.3"
"Lykis","Trading","404.34","3.88","120.29","-0.77","-15.73","141.27","88.78","13.13","57.5"
"Lynx Machinery","Miscellaneous","0.0","-0.54","0.0","1.13","0","8.68","9.17","0","125.5"
"Lypsa Gems","Trading","9.49","-32.71","3.06","-32.74","-63.57","75.5","0.0","-68.4","5.59"
"M & M","Automobiles - Passenger Cars","139078.27","12269.82","35451.73","3124.94","9.23","236300.73","106625.52","18.39","2868.0"
"M & M Fin. Serv.","Finance & Investments","15796.85","1943.05","4280.32","670.64","23.61","123715.79","98319.13","10.04","304.9"
"M B Agro Prod.","Fertilizers","816.95","24.84","145.68","1.38","-37.7","794.67","286.55","7.56","230.97"
"M E T S","Healthcare","33.29","4.94","14.17","2.58","48.38","57.27","5.35","17.61","170.05"
"M K Exim India","Trading","92.38","15.32","20.85","3.05","-20.21","83.59","0.62","20.75","72.5"
"M K Proteins","Solvent Extraction","245.57","11.21","86.87","5.83","0","96.25","20.08","20.13","12.48"
"M Lakhamsi Ind","Trading","113.65","0.75","51.78","0.4","23.37","54.37","0.0","10.01","3.76"
"M M Forgings","Castings & Forgings","1527.08","145.46","388.58","38.04","4.08","1995.93","925.28","19.24","1255.0"
"M M Rubber","Miscellaneous","41.64","-1.65","9.9","-1.7","0.71","32.28","7.41","-8.81","98.16"
"M P Agro Inds.","Fertilizers","0.42","0.04","0.42","0.03","0","5.96","0.0","0.68","20.33"
"M R P L","Refineries","90406.68","3597.05","25328.67","1138.5","-0.14","35430.03","12687.04","31.13","215.55"
"M T N L","Telecommunications - Service Provider","798.56","-3267.52","209.02","-783.74","-4.64","10717.34","30141.28","0","41.87"
"M.V.K. Agro","Sugar","141.44","8.72","81.31","4.42","0","282.18","147.48","0","42.6"
"Maagh Advertisin","Miscellaneous","48.55","2.49","27.0","1.22","0","25.22","0.0","17.32","13.28"
"Maan Aluminium","Aluminium and Aluminium Products","953.03","32.75","237.4","7.28","-9.69","225.09","32.6","22.33","143.55"
"Mac Charles(I)","Power Generation And Supply","11.38","-66.18","2.4","-21.3","20.0","1021.07","827.44","-31.78","455.0"
"Mac Hotels","Hotels","5.86","0.32","3.42","1.25","0","7.66","1.73","0","38.5"
"Macfos","Trading","125.13","10.83","72.15","7.0","0","50.16","8.18","0","761.0"
"Machhar Industri","Miscellaneous","16.93","0.58","0","0","0","14.97","1.14","3.92","368.1"
"Machino Plastics","Auto Ancillaries","337.74","3.69","81.83","1.23","1.41","204.28","88.34","6.99","230.0"
"Macpower CNC","Engineering","241.04","24.25","71.34","9.01","31.33","186.3","0.48","22.48","1408.85"
"Macro Intl.","Pharmaceuticals - Indian - Bulk Drugs & Formln","23.65","0.78","12.25","0.56","257.14","36.61","0.31","5.47","54.75"
"Macrotech Devel.","Construction","10316.1","1554.2","4018.5","667.0","23.44","47225.2","7697.6","10.81","1514.0"
"Madhav Copper","Mining / Minerals / Metals","35.5","1.23","14.58","4.2","0","63.79","13.42","3.04","36.77"
"Madhav Infra","Construction","460.38","22.88","150.77","2.76","-26.21","500.75","153.48","12.21","11.04"
"Madhav Marbles","Miscellaneous","39.9","-1.45","11.59","1.45","-0.17","142.49","15.07","-1.15","48.2"
"Madhucon Project","Construction","1163.75","-60.75","420.95","-6.95","-5.49","4212.53","3813.37","0","12.09"
"Madhur Inds","Food - Processing - Indian","0.0","-0.32","0.0","-0.18","0","7.66","0.01","-6.24","7.13"
"Madhusudan Inds.","Miscellaneous","1.22","2.32","0.31","-1.13","6.9","32.02","0.0","8.55","64.29"
"Madhusudan Masa","Food - Processing - Indian","162.22","9.2","107.94","5.89","0","105.25","52.14","83.71","159.15"
"Madhusudan Sec.","Finance & Investments","0.0","0.12","0.0","0.22","0","167.99","0.0","0.11","32.48"
"Madhuveer Com","Miscellaneous","4.85","2.34","4.65","2.51","0","40.05","6.57","12.24","123.3"
"Madhya Prad. Tod","Entertainment / Electronic Media Software","21.56","2.53","13.47","1.52","0","46.59","1.92","6.53","35.15"
"Madras Fertilize","Fertilizers","2228.42","5.56","758.48","88.3","-1.26","2007.49","1583.24","0","110.8"
"Mafatlal Inds.","Textiles - Composite","2078.64","98.75","764.26","33.27","125.83","1806.29","82.13","3.13","208.3"
"Mafia Trends","Trading","6.63","0.33","3.8","0.26","0","14.91","1.72","4.56","15.64"
"Magadh Sugar","Sugar","1096.58","116.41","288.12","46.88","-3.49","1611.07","637.07","16.81","771.0"
"Magellanic Cloud","Computers - Software - Medium / Small","560.43","102.95","137.21","39.43","19.64","799.48","278.85","29.21","601.2"
"Magenta Life","Miscellaneous","9.06","0.25","0","0","0","12.51","4.53","5.66","44.02"
"Magna Electrocas","Castings & Forgings","143.7","15.11","36.35","4.09","-1.28","128.43","0.09","14.91","464.05"
"Magnum Ventures","Paper","460.84","24.7","130.97","13.43","9.17","1135.44","198.6","2.98","50.0"
"Magnus Retail","Miscellaneous","0.67","-0.38","0.67","-0.09","0","0.43","1.6","0","6.49"
"Magson Retail","Trading","67.68","2.82","33.08","1.92","0","31.33","0.77","30.42","100.1"
"Mah. Corporation","Trading","0.78","0.24","0.23","0.03","-62.9","61.87","0.0","0.53","0.74"
"Mah. Scooters","Finance & Investments","222.51","199.31","5.18","0.1","-43.94","29393.91","0.0","0.87","8888.0"
"Mah. Seamless","Steel - Medium / Small","5404.12","951.68","1214.9","218.28","-25.6","6588.5","0.0","18.11","660.2"
"Maha Rashtra Apx","Finance & Investments","8.71","346.41","6.88","433.3","1107.02","548.71","0.18","119.91","168.8"
"Mahaan Foods","Food - Processing - Indian","0.0","0.66","0.0","0.32","0","19.9","0.0","3.45","52.95"
"Mahalaxmi Rubtec","Textiles - Processing","76.9","11.03","20.96","3.88","9.45","82.23","16.03","16.23","201.2"
"Mahalaxmi Seam.","Steel - Medium / Small","1.84","-1.24","0.47","0.21","2.17","3.15","1.54","0","10.11"
"Mahamaya Steel","Steel - Medium / Small","783.83","6.72","197.62","1.43","4.9","233.12","40.84","4.24","106.45"
"Mahan Industries","Finance & Investments","0.71","-0.05","0.13","-0.07","-60.61","6.59","3.47","0.33","2.16"
"Mahanagar Gas","Miscellaneous","6244.53","1289.07","1567.05","264.99","-2.7","7225.99","139.26","27.79","1639.05"
"Mahasagar Travel","Travel Agencies","43.84","0.34","11.72","0.16","0.77","12.79","4.57","0","7.25"
"Mahaveer Infoway","Computers - Software - Medium / Small","5.41","-0.45","0.58","-0.92","-56.39","7.45","1.72","-10.86","8.55"
"Mahesh Developer","Construction","0.0","-0.53","0.0","0.03","0","42.78","10.13","1.46","11.4"
"Maheshwari Logi.","Trading","1028.99","13.02","255.92","3.41","-6.92","532.85","239.22","7.51","65.22"
"Mahickra Chem.","Dyes And Pigments","71.92","1.07","35.45","0.59","0","60.79","13.44","3.29","101.0"
"Mahindra EPC","Plastics Products","262.45","1.67","71.17","1.49","0.3","257.09","15.9","1.22","165.0"
"Mahindra Holiday","Hotels","2704.6","116.05","800.19","83.21","12.45","9846.44","2738.28","25.28","462.75"
"Mahindra Life.","Construction","212.09","98.3","14.29","71.48","-94.4","4963.05","877.18","5.34","607.15"
"Mahindra Logis.","Miscellaneous","5505.97","-53.09","1450.76","-11.91","14.01","2477.2","739.29","-10.42","542.05"
"Maiden Forgings","Steel - Medium / Small","236.1","9.72","120.6","5.54","0","148.61","62.67","23.87","92.3"
"Maithan Alloys","Mining / Minerals / Metals","1728.64","348.96","433.27","142.01","-18.97","3468.08","30.21","11.74","1186.25"
"Maitreya","Healthcare","48.7","2.97","12.32","-1.07","8.17","43.86","5.7","15.17","136.5"
"Maitri Enterp.","Trading","19.01","-0.45","6.31","-0.46","57.75","21.67","10.55","-9.48","25.36"
"Majestic Auto","Construction","83.42","33.1","15.52","-0.16","19.66","867.6","153.33","6.2","369.8"
"Makers Labs.","Pharmaceuticals - Indian - Formulations","104.39","-4.81","27.81","-0.97","-5.57","161.26","19.49","-7.27","134.0"
"Maks Energy","Electric Equipment","66.26","0.28","35.38","0.08","0","33.7","15.48","3.92","75.95"
"Mallcom (India)","Textiles - Products","420.72","36.32","122.36","11.81","8.54","387.72","92.69","16.48","1213.7"
"Malu Paper","Paper","275.06","0.9","75.39","0.1","29.16","167.39","131.18","13.68","35.28"
"Man Industries","Steel - Medium / Small","3142.18","105.14","810.68","24.13","35.64","2415.16","325.92","8.73","411.15"
"Man Infra","Construction","1263.45","303.34","296.74","64.65","-56.38","2154.57","130.85","23.53","192.5"
"Manaksia","Trading","701.54","78.7","114.63","15.12","-62.5","721.71","74.23","11.65","99.15"
"Manaksia Alumi.","Aluminium and Aluminium Products","432.49","5.09","117.71","1.57","7.13","417.55","172.22","3.99","28.04"
"Manaksia Coated","Steel - Medium / Small","739.62","11.64","182.55","5.25","-2.3","531.1","177.62","8.84","63.87"
"Manaksia Steels","Steel - Medium / Small","631.96","30.22","152.97","5.25","-27.21","546.03","183.35","9.48","58.9"
"Manali Petrochem","Petrochemicals","1032.35","19.21","256.28","1.3","-23.16","1308.37","103.05","2.13","93.8"
"Manappuram Fin.","Finance & Investments","8848.01","2197.48","2359.77","563.49","32.9","46747.91","34319.88","20.65","211.85"
"Manav Infra","Construction","14.31","1.16","8.8","1.07","0","11.21","9.37","0","19.35"
"Manbro Indust.","Trading","24.0","0.24","4.67","-0.03","1097.44","2.96","0.0","800.0","863.0"
"Mandeep Auto","Auto Ancillaries","24.7","2.13","16.67","1.49","0","24.45","7.88","0","59.0"
"Mangal Credit","Finance & Investments","33.2","10.55","9.43","2.59","42.66","273.79","138.0","8.82","108.95"
"Mangalam Alloys","Steel - Medium / Small","304.55","11.47","164.09","5.46","0","390.23","150.54","14.51","39.15"
"Mangalam Cement","Cement - North India","1725.48","59.72","437.31","17.28","-4.79","2067.9","607.48","7.62","873.2"
"Mangalam Drugs","Pharmaceuticals - Indian - Bulk Drugs & Formln","368.59","-9.05","102.24","3.55","12.22","357.14","98.49","-6.15","104.9"
"Mangalam Global","Solvent Extraction","1838.8","20.21","542.47","11.78","62.84","419.89","201.34","14.84","22.37"
"Mangalam Industr","Finance & Investments","3.54","0.19","0.72","-0.09","94.59","28.77","0.0","0.67","4.28"
"Mangalam Organic","Chemicals","405.43","4.15","83.26","2.83","-11.8","469.91","163.29","1.48","364.6"
"MANGALAM SEEDS","Miscellaneous","100.05","13.18","13.37","2.25","-15.38","128.97","53.42","20.87","253.55"
"Mangalam World.","Steel - Medium / Small","818.11","22.98","236.58","11.81","10.67","413.78","102.52","13.88","134.05"
"Mangalore Chem.","Fertilizers","3795.44","154.82","786.4","4.84","-32.42","2430.43","1038.62","17.77","131.6"
"Manipal Fin. Cor","Finance & Investments","0.21","-0.14","0.04","0.04","0.0","1.64","4.51","0","5.26"
"Manjeera Constr.","Construction","63.26","-16.44","14.87","6.68","19.53","699.87","297.8","0","45.5"
"Mankind Pharma","Pharmaceuticals - Indian - Bulk Drugs & Formln","9264.81","1823.41","2152.69","454.17","14.99","11417.71","8.57","20.95","2129.15"
"Manoj Ceramic","Trading","95.92","6.08","52.75","3.52","0","104.89","57.13","57.36","134.9"
"Manoj Vaibhav","Diamond Cutting / Jewellery","2149.67","80.93","546.45","20.57","5.9","1399.29","429.0","16.82","229.15"
"Manomay Tex Indi","Textiles - Products","583.09","13.0","184.67","4.05","9.79","583.97","299.89","10.61","183.3"
"Manor Estates","Construction","0.0","-0.56","0.0","-0.15","0","0.15","0.71","0","3.87"
"Manorama Indust.","Food - Processing - Indian","457.08","40.11","129.33","12.5","27.12","736.66","346.39","12.63","648.1"
"Manraj Hsg.Fin.","Finance - Housing","0.0","-0.11","0.0","-0.04","0","19.57","6.87","0","36.74"
"Mansi Fin.(Chen)","Finance & Investments","7.67","2.07","2.16","0.05","52.11","68.26","32.21","6.17","51.44"
"Manugraph India","Engineering","65.76","-19.86","14.61","-4.27","-58.38","151.06","17.64","-22.21","22.59"
"Maral Overseas","Textiles - Cotton/Blended","960.06","-9.77","259.77","5.88","-4.3","757.71","476.06","-7.17","73.0"
"Marathon Nextgen","Construction","704.62","168.78","155.42","40.44","-8.82","2238.62","760.93","18.87","590.0"
"Marble City","Miscellaneous","70.26","-0.48","4.33","-0.83","-88.11","131.94","80.71","2.67","14.19"
"Marco Cables","Cables - Power","71.65","3.04","50.94","2.1","0","80.2","40.01","19.47","47.05"
"Marg Techno-Proj","Finance & Investments","5.01","0.14","1.15","-0.2","-8.73","31.22","17.34","1.5","30.6"
"Margo Finance","Finance & Investments","0.81","0.24","0.21","0.03","61.54","220.65","0.0","0.21","50.35"
"Marico","Solvent Extraction","9653.0","1502.0","2278.0","320.0","1.7","7421.0","528.0","38.82","621.2"
"Marine Electric.","Electric Equipment","622.12","25.76","237.08","12.18","65.65","615.71","97.04","11.22","161.55"
"Marinetrans Indi","Miscellaneous","106.34","0.32","64.24","-0.14","0","42.09","6.79","2.0","28.1"
"Maris Spinners","Textiles - Cotton/Blended","160.65","-9.13","37.75","-0.19","-12.39","133.57","81.41","-35.35","39.0"
"Market Creators","Finance & Investments","6.66","-0.03","2.04","-0.18","7.37","37.79","5.01","-0.09","10.97"
"Markobenz Ventur","Textiles - Processing","23.85","2.2","12.48","1.25","0","11.5","1.09","0","19.1"
"Markolines Pavem","Miscellaneous","347.29","17.3","216.26","11.22","0","264.39","58.75","20.5","214.5"
"Nihar Info Glob.","Computers - Software - Medium / Small","3.18","-3.79","0.75","-3.42","-40.0","11.93","1.54","-33.09","5.78"
"Marksans Pharma","Pharmaceuticals - Indian - Formulations","2177.41","314.9","560.01","77.64","15.23","2680.95","244.06","16.47","164.75"
