"Name","Industry","annual_sales","annual_profit","latest_quarter_sales","latest_quarter_profit","q_sales_growth_pct","total_assets","total_debt","roe","stock_price"
"Hittco Tools","Engineering","5.97","0.19","1.45","0.18","-24.08","8.35","3.93","5.66","13.15"
"HLE Glascoat","Engineering","967.92","40.89","306.9","14.8","2.87","1201.96","389.62","8.64","498.25"
"HLV","Hotels","199.1","23.8","59.74","10.35","14.82","579.67","32.71","5.52","24.69"
"HMA Agro Inds.","Food - Processing - Indian","4813.29","100.59","1390.14","1.54","65.74","1439.46","492.05","16.89","53.8"
"HMT","Engineering","222.12","-123.9","32.26","-31.69","-14.79","655.13","3728.9","0","67.55"
"Hoac Foods","Food - Processing - Indian","15.63","1.02","8.42","0.54","0","7.96","2.25","64.97","194.95"
"Holmarc Opto","Engineering","33.46","3.43","19.45","2.37","0","27.72","0.0","29.57","114.25"
"Home First Finan","Finance - Housing","1156.51","305.72","312.76","83.47","37.88","9533.96","7302.1","15.52","1168.1"
"Homesfy Realty","Construction","60.39","3.75","36.32","7.86","0","50.01","0.14","11.4","743.0"
"Honasa Consumer","Trading","1764.39","120.97","427.17","26.71","18.55","1613.09","110.19","13.81","448.4"
"Honda India","Electric Equipment","989.07","92.21","231.16","15.8","-26.22","991.93","0.47","11.52","3787.05"
"Honeywell Auto","Electronics - Components","4058.2","501.4","950.7","148.2","11.89","4895.1","59.6","14.76","56583.2"
"HOV Services","Computers - Software - Medium / Small","16.12","2.69","4.27","0.81","36.42","35.69","1.05","11.67","64.0"
"Howard Hotels","Hotels","13.15","0.95","4.63","0.02","37.8","19.6","5.07","9.0","23.5"
"HP Adhesives","Chemicals","236.02","20.57","59.35","5.61","2.58","197.81","3.16","12.87","97.71"
"HPL Electric","Electric Equipment","1460.86","43.62","424.09","13.72","16.91","1874.15","626.51","5.37","450.85"
"HRH Next","Computers - Software - Medium / Small","45.37","1.84","23.98","0.33","0","37.13","10.16","17.61","32.0"
"Hubtown","Construction","257.72","-86.17","105.79","-90.11","29.63","4909.88","940.55","-6.67","169.0"
"Huhtamaki India","Packaging","2498.03","400.18","610.12","26.03","-7.77","2000.96","254.57","13.04","362.95"
"Humming Bird Edu","Miscellaneous","5.51","0.04","1.56","-0.42","0","2.64","0.0","1.95","570.0"
"Hybrid Financial","Finance & Investments","5.09","1.94","2.02","0.88","184.51","47.89","0.0","7.57","11.17"
"Hypersoft Tech.","Computers - Software - Medium / Small","0.83","-0.67","0.19","-0.52","-9.52","2.79","0.02","-10.64","15.19"
"I D F C","Finance & Investments","65.54","1045.58","9.77","347.85","-81.43","13428.7","0.0","8.37","121.35"
"I G Petrochems","Chemicals","2099.07","39.71","553.98","9.21","-8.43","2093.85","337.33","3.22","600.25"
"I O B","Banks - Public Sector","24049.73","2655.62","6628.89","808.1","27.66","352033.61","316292.55","9.98","64.02"
"I O C L","Refineries","776351.85","43161.15","198649.76","5487.92","-2.56","482362.0","132627.56","25.83","167.45"
"I Power Solution","Computers - Software - Medium / Small","0.0","-0.16","0.0","-0.02","0","4.36","0.25","-3.83","11.87"
"I R C T C","Travel Agencies","4270.18","1111.26","1154.77","284.37","19.66","6091.1","60.35","40.44","996.2"
"I R F C","Finance - Term-Lending Institutions","26645.36","6412.1","6473.56","1717.32","4.51","485066.78","412038.51","13.55","172.45"
"I T D C","Hotels","532.02","70.33","147.88","15.71","-3.82","1065.68","0.63","19.5","822.35"
